,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
25,Midnight Rain,Midnights (3am Edition),2022-10-21,6,5UWacUKRimvuHRIH0XgwAt,spotify:track:5UWacUKRimvuHRIH0XgwAt,0.712,0.629,0.385,5.19e-05,0.115,-11.722,0.0749,140.002,0.228,51,174782
26,Question...?,Midnights (3am Edition),2022-10-21,7,4sC589n5FFW9jHOSUxnkd6,spotify:track:4sC589n5FFW9jHOSUxnkd6,0.216,0.722,0.494,0.0,0.226,-8.691,0.204,108.94,0.131,51,210556
27,Vigilante Shit,Midnights (3am Edition),2022-10-21,8,5dvjl2nhzcLM6NXzkpKDiL,spotify:track:5dvjl2nhzcLM6NXzkpKDiL,0.163,0.875,0.286,4.23e-05,0.127,-10.943,0.361,79.97,0.155,52,164801
28,Bejeweled,Midnights (3am Edition),2022-10-21,9,5Xv1T61pCSa1tFhcj3XVXe,spotify:track:5Xv1T61pCSa1tFhcj3XVXe,0.0635,0.693,0.543,5.12e-05,0.0839,-9.153,0.0677,164.027,0.4,50,194165
29,Labyrinth,Midnights (3am Edition),2022-10-21,10,4vqFHZjXf66USVlJ16utFN,spotify:track:4vqFHZjXf66USVlJ16utFN,0.784,0.475,0.309,0.465,0.123,-15.412,0.0423,109.967,0.143,48,247962
30,Karma,Midnights (3am Edition),2022-10-21,11,5GjkD2Xujig8TPty57wfsS,spotify:track:5GjkD2Xujig8TPty57wfsS,0.0727,0.654,0.638,0.0,0.497,-7.084,0.075,90.007,0.0941,56,204852
31,Sweet Nothing,Midnights (3am Edition),2022-10-21,12,3G7anCyYYjbXGtrAqdwUka,spotify:track:3G7anCyYYjbXGtrAqdwUka,0.967,0.435,0.163,5.79e-05,0.115,-14.889,0.0509,117.747,0.392,49,188496
32,Mastermind,Midnights (3am Edition),2022-10-21,13,6pXGAXMfoi7q7sek9uCFSL,spotify:track:6pXGAXMfoi7q7sek9uCFSL,0.561,0.656,0.341,0.00111,0.0871,-14.088,0.157,125.984,0.143,49,191039
33,The Great War,Midnights (3am Edition),2022-10-21,14,5BYl3SodS3rGmafWXRWmB7,spotify:track:5BYl3SodS3rGmafWXRWmB7,0.213,0.57,0.739,1.78e-05,0.0937,-9.013,0.0358,96.025,0.593,69,240355
34,Bigger Than The Whole Sky,Midnights (3am Edition),2022-10-21,15,3jzbpOzoYa22FvzBkNkLvC,spotify:track:3jzbpOzoYa22FvzBkNkLvC,0.829,0.395,0.226,0.00322,0.115,-12.511,0.0518,165.523,0.0656,60,218502
35,Paris,Midnights (3am Edition),2022-10-21,16,6J834IBcZJMH38ksrgAqwF,spotify:track:6J834IBcZJMH38ksrgAqwF,0.103,0.696,0.485,6.69e-05,0.136,-10.573,0.123,110.962,0.339,64,196258
36,High Infidelity,Midnights (3am Edition),2022-10-21,17,4356PL6jkERzJouVfQQkZo,spotify:track:4356PL6jkERzJouVfQQkZo,0.712,0.652,0.536,0.0,0.0854,-10.211,0.0881,87.963,0.758,60,231475
37,Glitch,Midnights (3am Edition),2022-10-21,18,6RJBrG3VHz2hPITjv88chh,spotify:track:6RJBrG3VHz2hPITjv88chh,0.313,0.571,0.477,0.0,0.11,-9.737,0.246,140.734,0.331,57,148781
38,"Would've, Could've, Should've",Midnights (3am Edition),2022-10-21,19,3pUa0ZxdSeaJXm0EIydD3F,spotify:track:3pUa0ZxdSeaJXm0EIydD3F,0.424,0.488,0.832,0.00288,0.139,-6.508,0.114,157.984,0.554,70,260361
39,Dear Reader,Midnights (3am Edition),2022-10-21,20,7lFNXsbcbds699xCWO3pSe,spotify:track:7lFNXsbcbds699xCWO3pSe,0.487,0.681,0.396,0.00138,0.117,-12.109,0.0487,107.954,0.157,58,225194
40,Lavender Haze,Midnights,2022-10-21,1,5jQI2r1RdgtuT8S3iG8zFC,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,89,202395
41,Maroon,Midnights,2022-10-21,2,3eX0NZfLtGzoLUxPNvRfqm,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,82,218270
42,Anti-Hero,Midnights,2022-10-21,3,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,94,200690
43,Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,4,1wtOxkiel43cVs0Yux5Q4h,spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,83,256124
44,"You're On Your Own, Kid",Midnights,2022-10-21,5,4D7BCuvgdJlYvlX5WlN54t,spotify:track:4D7BCuvgdJlYvlX5WlN54t,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,84,194206
45,Midnight Rain,Midnights,2022-10-21,6,3rWDp9tBPQR9z6U5YyRSK4,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,86,174782
46,Question...?,Midnights,2022-10-21,7,0heeNYlwOGuUSe7TgUD27B,spotify:track:0heeNYlwOGuUSe7TgUD27B,0.2,0.751,0.502,0.0,0.296,-8.763,0.167,108.943,0.106,78,210556
47,Vigilante Shit,Midnights,2022-10-21,8,1xwAWUI6Dj0WGC3KiUPN0O,spotify:track:1xwAWUI6Dj0WGC3KiUPN0O,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,80,164801
