,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
289,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,8,4Sj0m6AOQRgczw8Q4Q6jb0,spotify:track:4Sj0m6AOQRgczw8Q4Q6jb0,0.5,0.554,0.663,4.77e-05,0.791,-8.961,0.0324,89.977,0.545,30,260000
290,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,9,3np6rogpYUEmSeXPYy7gq4,spotify:track:3np6rogpYUEmSeXPYy7gq4,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,30,209293
291,illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,10,3Qc5EXc8KGy8Z0f8yGKYDW,spotify:track:3Qc5EXc8KGy8Z0f8yGKYDW,0.883,0.489,0.235,0.0,0.113,-10.274,0.0356,117.699,0.435,29,183720
292,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,11,1FRF7olkTDWPwHf5JwYudq,spotify:track:1FRF7olkTDWPwHf5JwYudq,0.942,0.59,0.282,4.85e-06,0.11,-10.542,0.0281,83.438,0.351,27,257359
293,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,12,1Io0cp5dOYJWCKpCBDopdM,spotify:track:1Io0cp5dOYJWCKpCBDopdM,0.903,0.666,0.457,0.000102,0.118,-10.46,0.0405,141.849,0.343,23,238280
294,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,13,0Zm4whQzxgdgh5kNW1budX,spotify:track:0Zm4whQzxgdgh5kNW1budX,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,23,274880
295,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,14,7ojfyws0WASED96XBzRbd6,spotify:track:7ojfyws0WASED96XBzRbd6,0.844,0.581,0.313,0.0,0.18,-9.597,0.0298,95.802,0.542,22,288563
296,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,15,38aA4mjtRF8ZNXWoCg1XOa,spotify:track:38aA4mjtRF8ZNXWoCg1XOa,0.934,0.595,0.355,6.3e-05,0.0745,-11.068,0.0607,149.897,0.519,22,213013
297,hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,16,39z0Ktcc9Zvnim7C3YXvpC,spotify:track:39z0Ktcc9Zvnim7C3YXvpC,0.962,0.682,0.155,0.0,0.18,-13.083,0.0394,118.832,0.483,23,221800
298,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,17,2BDBBNaWZf2ueZwp4h52b2,spotify:track:2BDBBNaWZf2ueZwp4h52b2,0.794,0.606,0.221,0.0,0.0888,-11.767,0.0468,89.844,0.112,22,199733
299,the 1,folklore (deluxe version),2020-08-18,1,4pfrrhvplbJZAIsfosGWQP,spotify:track:4pfrrhvplbJZAIsfosGWQP,0.75,0.78,0.361,7.14e-06,0.108,-6.942,0.048,139.902,0.163,71,210240
300,cardigan,folklore (deluxe version),2020-08-18,2,0KRYCBwIpWYFNrXOmXbyUh,spotify:track:0KRYCBwIpWYFNrXOmXbyUh,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,73,239560
301,the last great american dynasty,folklore (deluxe version),2020-08-18,3,2olxzvoFI9IpxqFeUv7WOX,spotify:track:2olxzvoFI9IpxqFeUv7WOX,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,70,231000
302,exile (feat. Bon Iver),folklore (deluxe version),2020-08-18,4,5S4aYQAJOwJMAamANWlICO,spotify:track:5S4aYQAJOwJMAamANWlICO,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,0.16,70,285640
303,my tears ricochet,folklore (deluxe version),2020-08-18,5,5P2bHCDM2tsgIaYWsZMhu5,spotify:track:5P2bHCDM2tsgIaYWsZMhu5,0.814,0.456,0.265,0.0,0.0679,-10.663,0.0328,129.947,0.112,71,255893
304,mirrorball,folklore (deluxe version),2020-08-18,6,2I8YAEA1VmCuP1wkJHMpTw,spotify:track:2I8YAEA1VmCuP1wkJHMpTw,0.686,0.549,0.417,1.9e-06,0.0604,-10.064,0.035,110.137,0.347,70,208973
305,seven,folklore (deluxe version),2020-08-18,7,76mOLcXOjOEhyY4mMF1l3r,spotify:track:76mOLcXOjOEhyY4mMF1l3r,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,0.374,69,208906
306,august,folklore (deluxe version),2020-08-18,8,6nK2pIKFcRc5frrZKHgsiT,spotify:track:6nK2pIKFcRc5frrZKHgsiT,0.553,0.387,0.634,6.93e-05,0.0931,-9.222,0.0363,89.567,0.42,72,261920
307,this is me trying,folklore (deluxe version),2020-08-18,9,7cm50Lw03k6VvRauJtkyTj,spotify:track:7cm50Lw03k6VvRauJtkyTj,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,0.408,70,195106
308,illicit affairs,folklore (deluxe version),2020-08-18,10,6DrLROM5MG9bxWHeEG5elq,spotify:track:6DrLROM5MG9bxWHeEG5elq,0.862,0.529,0.304,0.0,0.108,-10.567,0.0356,119.58,0.44,70,190893
309,invisible string,folklore (deluxe version),2020-08-18,11,2ehRU518I0hYqMGQnk4lDY,spotify:track:2ehRU518I0hYqMGQnk4lDY,0.859,0.651,0.459,6.63e-05,0.105,-11.128,0.0507,83.455,0.454,71,252880
310,mad woman,folklore (deluxe version),2020-08-18,12,0RP1kqoSPkVXsKiQNhMKzV,spotify:track:0RP1kqoSPkVXsKiQNhMKzV,0.67,0.593,0.7,6.77e-06,0.116,-9.016,0.0492,141.898,0.451,67,237266
311,epiphany,folklore (deluxe version),2020-08-18,13,1EXa37LpSvi3OQ9UYQ28rD,spotify:track:1EXa37LpSvi3OQ9UYQ28rD,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,66,289746
312,betty,folklore (deluxe version),2020-08-18,14,3IhtE4fkytdrtEfV34UzkD,spotify:track:3IhtE4fkytdrtEfV34UzkD,0.589,0.595,0.376,0.0,0.0989,-8.767,0.0256,95.946,0.476,68,294520
313,peace,folklore (deluxe version),2020-08-18,15,6JlI8Ay77m4nJvZTHvfT1J,spotify:track:6JlI8Ay77m4nJvZTHvfT1J,0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,0.328,67,234000
314,hoax,folklore (deluxe version),2020-08-18,16,0YeDG5HnKnG7jpArkzsSPa,spotify:track:0YeDG5HnKnG7jpArkzsSPa,0.964,0.676,0.178,7.9e-06,0.135,-15.01,0.0394,118.84,0.404,66,220040
315,the lakes - bonus track,folklore (deluxe version),2020-08-18,17,0eFQWVz0qIxDOvhLpZ40P7,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,0.268,70,211813
316,the 1,folklore (deluxe version),2020-08-17,1,5WWzC95Mqp3OYgJCHwjHdY,spotify:track:5WWzC95Mqp3OYgJCHwjHdY,0.764,0.765,0.348,1.01e-05,0.108,-6.963,0.0579,140.016,0.171,38,210251
317,cardigan,folklore (deluxe version),2020-08-17,2,1PybBpkSEB46GS1TF9n3e3,spotify:track:1PybBpkSEB46GS1TF9n3e3,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,37,239560
318,the last great american dynasty,folklore (deluxe version),2020-08-17,3,1oyvfXXSKGurQV68wZq8aK,spotify:track:1oyvfXXSKGurQV68wZq8aK,0.473,0.684,0.661,0.00215,0.109,-8.507,0.0407,147.909,0.713,37,230999
319,exile (feat. Bon Iver),folklore (deluxe version),2020-08-17,4,160aOpD0QnQdUHBbWbojTx,spotify:track:160aOpD0QnQdUHBbWbojTx,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,35,285634
320,my tears ricochet,folklore (deluxe version),2020-08-17,5,4Ue1tL32N8J4Y2WhcAWlgk,spotify:track:4Ue1tL32N8J4Y2WhcAWlgk,0.806,0.469,0.263,0.0,0.0749,-10.63,0.0329,129.86,0.112,34,255893
321,mirrorball,folklore (deluxe version),2020-08-17,6,3zBBJ6LVn8Y9JnDrnPxvMC,spotify:track:3zBBJ6LVn8Y9JnDrnPxvMC,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,0.379,35,208977
322,seven,folklore (deluxe version),2020-08-17,7,55FiXQZgp3NChLYhYC1rnj,spotify:track:55FiXQZgp3NChLYhYC1rnj,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.922,0.415,32,208906
323,august,folklore (deluxe version),2020-08-17,8,5jkmNosiv4Tt9JRP8JqT59,spotify:track:5jkmNosiv4Tt9JRP8JqT59,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,34,261922
324,this is me trying,folklore (deluxe version),2020-08-17,9,5LRDGLySkHo4G0l32jU2cB,spotify:track:5LRDGLySkHo4G0l32jU2cB,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,34,195097
325,illicit affairs,folklore (deluxe version),2020-08-17,10,2gmCOqKc5sc72rtRnhrbKa,spotify:track:2gmCOqKc5sc72rtRnhrbKa,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,0.46,36,190898
326,invisible string,folklore (deluxe version),2020-08-17,11,2Uoesc7DCQIE58OECSTYtF,spotify:track:2Uoesc7DCQIE58OECSTYtF,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,33,252880
327,mad woman,folklore (deluxe version),2020-08-17,12,3EPwQ6nq2dQEeoRqnm1boe,spotify:track:3EPwQ6nq2dQEeoRqnm1boe,0.649,0.596,0.709,9.92e-06,0.114,-8.938,0.0431,141.978,0.533,31,237258
328,epiphany,folklore (deluxe version),2020-08-17,13,0b7rims1HOMhXJVCly981N,spotify:track:0b7rims1HOMhXJVCly981N,0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,30,289749
329,betty,folklore (deluxe version),2020-08-17,14,7w0hHA41usBpo8isfAtl1g,spotify:track:7w0hHA41usBpo8isfAtl1g,0.544,0.59,0.379,0.0,0.0983,-8.717,0.0255,96.029,0.467,35,294521
330,peace,folklore (deluxe version),2020-08-17,15,3YT3zOo7VgAlvW1yOUMXDg,spotify:track:3YT3zOo7VgAlvW1yOUMXDg,0.918,0.651,0.269,2.17e-05,0.0918,-12.912,0.0983,150.033,0.334,34,234000
331,hoax,folklore (deluxe version),2020-08-17,16,6S5C2Cdmzn9bxlmLQYoXyU,spotify:track:6S5C2Cdmzn9bxlmLQYoXyU,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,30,220042
332,the lakes - bonus track,folklore (deluxe version),2020-08-17,17,5dwQhzeE8LXpl9sbZJZmQS,spotify:track:5dwQhzeE8LXpl9sbZJZmQS,0.85,0.509,0.262,1.68e-06,0.0851,-11.531,0.0311,89.846,0.287,62,211798
333,the 1,folklore,2020-07-24,1,0Jlcvv8IykzHaSmj49uNW8,spotify:track:0Jlcvv8IykzHaSmj49uNW8,0.757,0.777,0.357,7.28e-06,0.108,-6.942,0.0522,139.883,0.172,79,210251
334,cardigan,folklore,2020-07-24,2,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,88,239560
335,the last great american dynasty,folklore,2020-07-24,3,2Eeur20xVqfUoM3Q7EFPFt,spotify:track:2Eeur20xVqfUoM3Q7EFPFt,0.467,0.686,0.662,0.0023,0.109,-8.505,0.0413,147.922,0.706,75,230999
336,exile (feat. Bon Iver),folklore,2020-07-24,4,4pvb0WLRcMtbPGmtejJJ6y,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,80,285634
337,my tears ricochet,folklore,2020-07-24,5,1MgV7FIyNxIG7WzMRJV5HC,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,0.111,79,255893
338,mirrorball,folklore,2020-07-24,6,0ZNU020wNYvgW84iljPkPP,spotify:track:0ZNU020wNYvgW84iljPkPP,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,0.379,78,208977
339,seven,folklore,2020-07-24,7,6KJqZcs9XDgVck7Lg9QOTC,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,0.415,73,208906
340,august,folklore,2020-07-24,8,3hUxzQpSfdDqwM3ZTFQY0K,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,85,261922
341,this is me trying,folklore,2020-07-24,9,7kt9e9LFSpN1zQtYEl19o1,spotify:track:7kt9e9LFSpN1zQtYEl19o1,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,77,195097
342,illicit affairs,folklore,2020-07-24,10,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,0.46,78,190898
343,invisible string,folklore,2020-07-24,11,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,76,252880
344,mad woman,folklore,2020-07-24,12,2QDyYdZyhlP2fp79KZX8Bi,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,0.506,70,237258
345,epiphany,folklore,2020-07-24,13,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,68,289749
346,betty,folklore,2020-07-24,14,5kI4eCXXzyuIUXjQra0Cxi,spotify:track:5kI4eCXXzyuIUXjQra0Cxi,0.6,0.593,0.377,0.0,0.0976,-8.761,0.0253,95.939,0.502,76,294521
347,peace,folklore,2020-07-24,15,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,0.339,70,234000
348,hoax,folklore,2020-07-24,16,6MWoRt97mnSTXZhu3ggi9C,spotify:track:6MWoRt97mnSTXZhu3ggi9C,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,69,220042
349,the 1,folklore,2020-07-24,1,2b4dRZGflAQT7ZbFwOclyP,spotify:track:2b4dRZGflAQT7ZbFwOclyP,0.764,0.765,0.348,1.01e-05,0.108,-6.963,0.0579,140.015,0.171,45,210251
350,cardigan,folklore,2020-07-24,2,4LEK9rD7TWIG4FCL1s27XC,spotify:track:4LEK9rD7TWIG4FCL1s27XC,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,0.551,53,239560
351,the last great american dynasty,folklore,2020-07-24,3,2MnzNhe3pPExotEbZpeXnh,spotify:track:2MnzNhe3pPExotEbZpeXnh,0.473,0.684,0.661,0.00215,0.109,-8.507,0.0407,147.909,0.713,45,230999
352,exile (feat. Bon Iver),folklore,2020-07-24,4,59HA1SBz1DPCCvdDeILV7E,spotify:track:59HA1SBz1DPCCvdDeILV7E,0.778,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,48,285634
353,my tears ricochet,folklore,2020-07-24,5,1DnpjwTbSwV2V6O4PABMjW,spotify:track:1DnpjwTbSwV2V6O4PABMjW,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,0.111,42,255893
354,mirrorball,folklore,2020-07-24,6,5L4sr95Nw2hcJ7nQh7ksUN,spotify:track:5L4sr95Nw2hcJ7nQh7ksUN,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,0.379,42,208977
355,seven,folklore,2020-07-24,7,79qUTP8YabHY2asciytR4o,spotify:track:79qUTP8YabHY2asciytR4o,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.926,0.415,39,208906
356,august,folklore,2020-07-24,8,1X2cYhcDMfDtiRIYHZCpQu,spotify:track:1X2cYhcDMfDtiRIYHZCpQu,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,46,261922
357,this is me trying,folklore,2020-07-24,9,0j5renyfv1ChCoe1ca7bDP,spotify:track:0j5renyfv1ChCoe1ca7bDP,0.314,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,44,195097
358,illicit affairs,folklore,2020-07-24,10,7pv3FIt9AxFME58yM1ROwZ,spotify:track:7pv3FIt9AxFME58yM1ROwZ,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,0.46,42,190898
359,invisible string,folklore,2020-07-24,11,3yz88FVJQhwG2EqYHw3pkx,spotify:track:3yz88FVJQhwG2EqYHw3pkx,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,46,252880
360,mad woman,folklore,2020-07-24,12,5sSudVJ80OUYU35dhkfGz1,spotify:track:5sSudVJ80OUYU35dhkfGz1,0.649,0.596,0.709,9.92e-06,0.114,-8.938,0.0431,141.978,0.533,41,237258
361,epiphany,folklore,2020-07-24,13,1tcoNYqpAYXbSGMlNUl0eE,spotify:track:1tcoNYqpAYXbSGMlNUl0eE,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,36,289749
362,betty,folklore,2020-07-24,14,0x3CUvkL4jUPYVONrYUubR,spotify:track:0x3CUvkL4jUPYVONrYUubR,0.544,0.59,0.379,0.0,0.0983,-8.717,0.0255,96.029,0.467,47,294521
363,peace,folklore,2020-07-24,15,6rTUr8OpU5kcSqLGL2TmyR,spotify:track:6rTUr8OpU5kcSqLGL2TmyR,0.918,0.651,0.269,2.17e-05,0.0918,-12.912,0.0983,150.033,0.334,45,234000
364,hoax,folklore,2020-07-24,16,6G61EqJgoEJhWaBT34jMyW,spotify:track:6G61EqJgoEJhWaBT34jMyW,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,36,220042
365,I Forgot That You Existed,Lover,2019-08-23,1,43rA71bccXFGD4C8GOpIlN,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,0.316,2.03e-06,0.0812,-10.345,0.519,92.875,0.541,76,170640
366,Cruel Summer,Lover,2019-08-23,2,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06e-05,0.105,-5.707,0.157,169.994,0.564,90,178426
367,Lover,Lover,2019-08-23,3,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,87,221306
368,The Man,Lover,2019-08-23,4,3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,0.658,0.0,0.0901,-5.191,0.054,110.048,0.633,84,190360
369,The Archer,Lover,2019-08-23,5,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,80,211240
370,I Think He Knows,Lover,2019-08-23,6,2YWtcWi3a83pdEg3Gif4Pd,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,77,173386
371,Miss Americana & The Heartbreak Prince,Lover,2019-08-23,7,214nt20w5wOxJnY462klLw,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,81,234146
372,Paper Rings,Lover,2019-08-23,8,4y5bvROuBDPr5fuwXbIBZR,spotify:track:4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36e-05,0.0742,-6.553,0.0497,103.979,0.865,84,222400
373,Cornelia Street,Lover,2019-08-23,9,12M5uqx0ZuwkpLp5rJim1a,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,79,287266
374,Death By A Thousand Cuts,Lover,2019-08-23,10,2dgFqt3w9xIQRjhPtwNk3D,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071,0.313,78,198533
375,London Boy,Lover,2019-08-23,11,1LLXZFeAHK9R4xUramtUKw,spotify:track:1LLXZFeAHK9R4xUramtUKw,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,78,190240
376,Soon You’ll Get Better (feat. The Chicks),Lover,2019-08-23,12,4AYtqFyFbX0Xkc2wtcygTr,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,0.907,0.433,0.182,0.0,0.123,-12.566,0.0641,207.476,0.421,71,201586
377,False God,Lover,2019-08-23,13,5hQSXkFgbxjZo9uCwd11so,spotify:track:5hQSXkFgbxjZo9uCwd11so,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,75,200306
378,You Need To Calm Down,Lover,2019-08-23,14,6RRNNciQGZEXnqk8SQ9yv5,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.00929,0.771,0.671,0.0,0.0637,-5.617,0.0553,85.026,0.714,81,171360
379,Afterglow,Lover,2019-08-23,15,1SymEzIT3H8UZfibCs3TYi,spotify:track:1SymEzIT3H8UZfibCs3TYi,0.13,0.756,0.449,0.0,0.114,-8.746,0.0344,111.011,0.399,81,223293
380,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,2019-08-23,16,2Rk4JlNc2TPmZe2af99d45,spotify:track:2Rk4JlNc2TPmZe2af99d45,0.033,0.61,0.83,0.0,0.118,-4.105,0.0571,182.162,0.728,79,193000
381,It’s Nice To Have A Friend,Lover,2019-08-23,17,1SmiQ65iSAbPto6gPFlBYm,spotify:track:1SmiQ65iSAbPto6gPFlBYm,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,71,150440
382,Daylight,Lover,2019-08-23,18,1fzAuUVbzlhZ1lJAx9PtY6,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,78,293453
383,...Ready For It? - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,1,4twNUyTpLMPWokYmCdFDCH,spotify:track:4twNUyTpLMPWokYmCdFDCH,0.0155,0.606,0.814,0.264,0.193,-8.128,0.0716,160.004,0.191,28,207173
384,End Game - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,2,4cag67C3v9ToeFivUwDUsE,spotify:track:4cag67C3v9ToeFivUwDUsE,0.000908,0.746,0.528,0.443,0.0713,-6.304,0.0449,159.043,0.0719,22,243826
385,I Did Something Bad - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,3,2hecdut2HWM5JMHqLTWThq,spotify:track:2hecdut2HWM5JMHqLTWThq,0.169,0.756,0.517,0.158,0.0588,-7.517,0.194,83.01,0.178,24,238253
386,Don't Blame Me - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,4,5JtXBqKLdfzwedmlUjjqAm,spotify:track:5JtXBqKLdfzwedmlUjjqAm,0.211,0.55,0.456,0.532,0.0291,-7.122,0.038,135.843,0.0764,30,236413
387,Delicate - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,5,5Iadj8IBPrt634WW0yGPRI,spotify:track:5Iadj8IBPrt634WW0yGPRI,0.249,0.714,0.332,0.148,0.0649,-12.043,0.0505,94.999,0.0429,24,232253
388,Look What You Made Me Do - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,6,1zz0XSmHCFd57ne04UAp38,spotify:track:1zz0XSmHCFd57ne04UAp38,0.0228,0.764,0.373,0.224,0.112,-9.283,0.0546,127.966,0.0709,27,211200
389,So It Goes... - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,7,5oJUjUsBZcqyEhOdpif37h,spotify:track:5oJUjUsBZcqyEhOdpif37h,0.072,0.256,0.53,0.284,0.202,-10.173,0.045,76.84,0.25,19,227906
390,Gorgeous - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,8,3ZHTwJzCNDFvjLpVQiqpH6,spotify:track:3ZHTwJzCNDFvjLpVQiqpH6,0.036,0.76,0.462,0.467,0.266,-7.646,0.0484,92.03,0.335,22,209680
391,Getaway Car - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,9,7bdyzcQ0onk60hfsxDCd2X,spotify:track:7bdyzcQ0onk60hfsxDCd2X,0.00515,0.497,0.682,0.768,0.0923,-8.663,0.043,172.06,0.158,24,233626
392,King Of My Heart - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,10,5EsfyTD26nlVQ0DtYo16uJ,spotify:track:5EsfyTD26nlVQ0DtYo16uJ,0.00256,0.64,0.622,0.00328,0.038,-9.626,0.0324,110.028,0.145,21,214333
393,Dancing With Our Hands Tied - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,11,3ZfvKQxJp4zZshiJsRPoD1,spotify:track:3ZfvKQxJp4zZshiJsRPoD1,0.0844,0.426,0.529,0.0986,0.101,-7.953,0.17,75.958,0.217,22,211493
394,Dress - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,12,2k0w1FGqvzVPgQ9VdTaJpe,spotify:track:2k0w1FGqvzVPgQ9VdTaJpe,0.0348,0.682,0.457,0.0205,0.217,-11.087,0.0387,120.029,0.0383,20,230386
395,This Is Why We Can't Have Nice Things - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,13,0MtU9ETYyVX8YPBDCYPdMb,spotify:track:0MtU9ETYyVX8YPBDCYPdMb,0.00927,0.594,0.757,0.000236,0.401,-5.384,0.0572,163.948,0.214,21,205693
396,Call It What You Want - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,14,1VPHQriwOsy5aGHLwwZyho,spotify:track:1VPHQriwOsy5aGHLwwZyho,0.0943,0.594,0.454,0.705,0.755,-13.01,0.0401,164.028,0.139,22,202173
397,New Year's Day - Karaoke Version,Taylor Swift Karaoke: reputation,2018-03-09,15,13tYZVTtzLUJTlM7m1ivbi,spotify:track:13tYZVTtzLUJTlM7m1ivbi,0.944,0.452,0.0639,2.91e-05,0.137,-16.349,0.0471,94.963,0.0767,19,235506
398,...Ready For It?,reputation,2017-11-10,1,2yLa0QULdQr0qAIvVwN6B5,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.0527,0.613,0.764,0.0,0.197,-6.509,0.136,160.015,0.417,81,208186
399,End Game,reputation,2017-11-10,2,2x0WlnmfG39ZuDmstl9xfX,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.00845,0.649,0.589,0.0,0.108,-6.237,0.0558,159.073,0.151,78,244826
